Dia;Producto;Latitud;Longitud;PVP;VentasN;Nombre;Day;Month;Year;Weekday;Fiesta
27/01/2016;GOA;43,31748953;-8,47923782;0,959;0,579835731;ES4;27;enero;2016;Miercoles;
28/01/2016;95;43,31748953;-8,47923782;1,139;0,126375705;ES4;28;enero;2016;Jueves;
28/01/2016;GOA;43,31748953;-8,47923782;0,959;0,392793368;ES4;28;enero;2016;Jueves;
29/01/2016;95;43,31748953;-8,47923782;1,139;0,187054322;ES4;29;enero;2016;Viernes;
29/01/2016;GOA;43,31748953;-8,47923782;0,969;0,565541303;ES4;29;enero;2016;Viernes;
30/01/2016;95;43,31748953;-8,47923782;1,149;0,190458926;ES4;30;enero;2016;Sabado;
30/01/2016;GOA;43,31748953;-8,47923782;0,989;0,541364775;ES4;30;enero;2016;Sabado;
31/01/2016;95;43,31748953;-8,47923782;1,149;0,13569761;ES4;31;enero;2016;Domingo;
31/01/2016;GOA;43,31748953;-8,47923782;0,989;0,386271181;ES4;31;enero;2016;Domingo;
01/02/2016;95;43,31748953;-8,47923782;1,149;0,130484015;ES4;1;febrero;2016;Lunes;
01/02/2016;GOA;43,31748953;-8,47923782;0,989;0,552773251;ES4;1;febrero;2016;Lunes;
02/02/2016;95;43,31748953;-8,47923782;1,149;0,153888858;ES4;2;febrero;2016;Martes;
02/02/2016;GOA;43,31748953;-8,47923782;0,989;0,615752446;ES4;2;febrero;2016;Martes;
03/02/2016;95;43,31748953;-8,47923782;1,149;0,150550974;ES4;3;febrero;2016;Miercoles;
03/02/2016;GOA;43,31748953;-8,47923782;0,979;0,607144318;ES4;3;febrero;2016;Miercoles;
04/02/2016;95;43,31748953;-8,47923782;1,129;0,168253153;ES4;4;febrero;2016;Jueves;
04/02/2016;GOA;43,31748953;-8,47923782;0,984;0,488460916;ES4;4;febrero;2016;Jueves;
05/02/2016;95;43,31748953;-8,47923782;1,119;0,170869707;ES4;5;febrero;2016;Viernes;
05/02/2016;GOA;43,31748953;-8,47923782;0,984;0,684554528;ES4;5;febrero;2016;Viernes;
06/02/2016;95;43,31748953;-8,47923782;1,129;0,165063186;ES4;6;febrero;2016;Sabado;
06/02/2016;GOA;43,31748953;-8,47923782;0,994;0,566780028;ES4;6;febrero;2016;Sabado;
07/02/2016;95;43,31748953;-8,47923782;1,129;0,149185104;ES4;7;febrero;2016;Domingo;
07/02/2016;GOA;43,31748953;-8,47923782;0,994;0,371274936;ES4;7;febrero;2016;Domingo;
08/02/2016;95;43,31748953;-8,47923782;1,129;0,141175567;ES4;8;febrero;2016;Lunes;
08/02/2016;GOA;43,31748953;-8,47923782;0,994;0,456616004;ES4;8;febrero;2016;Lunes;
09/02/2016;95;43,31748953;-8,47923782;1,119;0,098246966;ES4;9;febrero;2016;Martes;Martes de Carnaval
09/02/2016;GOA;43,31748953;-8,47923782;0,984;0,427816918;ES4;9;febrero;2016;Martes;Martes de Carnaval
10/02/2016;95;43,31748953;-8,47923782;1,109;0,145246112;ES4;10;febrero;2016;Miercoles;
10/02/2016;GOA;43,31748953;-8,47923782;0,984;0,481895299;ES4;10;febrero;2016;Miercoles;
11/02/2016;95;43,31748953;-8,47923782;1,089;0,129552454;ES4;11;febrero;2016;Jueves;
11/02/2016;GOA;43,31748953;-8,47923782;0,964;0,520322824;ES4;11;febrero;2016;Jueves;
12/02/2016;95;43,31748953;-8,47923782;1,089;0,154406253;ES4;12;febrero;2016;Viernes;
12/02/2016;GOA;43,31748953;-8,47923782;0,964;0,530782115;ES4;12;febrero;2016;Viernes;
13/02/2016;95;43,31748953;-8,47923782;1,089;0,136105483;ES4;13;febrero;2016;Sabado;
13/02/2016;GOA;43,31748953;-8,47923782;0,964;0,549972903;ES4;13;febrero;2016;Sabado;
14/02/2016;95;43,31748953;-8,47923782;1,089;0,142581091;ES4;14;febrero;2016;Domingo;
14/02/2016;GOA;43,31748953;-8,47923782;0,964;0,403765017;ES4;14;febrero;2016;Domingo;
15/02/2016;95;43,31748953;-8,47923782;1,089;0,147619075;ES4;15;febrero;2016;Lunes;
15/02/2016;GOA;43,31748953;-8,47923782;0,964;0,549115615;ES4;15;febrero;2016;Lunes;
16/02/2016;95;43,31748953;-8,47923782;1,099;0,131307314;ES4;16;febrero;2016;Martes;
16/02/2016;GOA;43,31748953;-8,47923782;0,984;0,509166121;ES4;16;febrero;2016;Martes;
17/02/2016;95;43,31748953;-8,47923782;1,109;0,11790857;ES4;17;febrero;2016;Miercoles;
17/02/2016;GOA;43,31748953;-8,47923782;0,984;0,453859716;ES4;17;febrero;2016;Miercoles;
18/02/2016;95;43,31748953;-8,47923782;1,109;0,171695523;ES4;18;febrero;2016;Jueves;
18/02/2016;GOA;43,31748953;-8,47923782;0,984;0,647824585;ES4;18;febrero;2016;Jueves;
19/02/2016;95;43,31748953;-8,47923782;1,109;0,139571142;ES4;19;febrero;2016;Viernes;
19/02/2016;GOA;43,31748953;-8,47923782;1,004;0,533179626;ES4;19;febrero;2016;Viernes;
20/02/2016;95;43,31748953;-8,47923782;1,099;0,22038155;ES4;20;febrero;2016;Sabado;
20/02/2016;GOA;43,31748953;-8,47923782;0,994;0,539325411;ES4;20;febrero;2016;Sabado;
21/02/2016;95;43,31748953;-8,47923782;1,099;0,16227165;ES4;21;febrero;2016;Domingo;
21/02/2016;GOA;43,31748953;-8,47923782;0,994;0,41524462;ES4;21;febrero;2016;Domingo;
22/02/2016;95;43,31748953;-8,47923782;1,099;0,107869111;ES4;22;febrero;2016;Lunes;
22/02/2016;GOA;43,31748953;-8,47923782;0,994;0,553571372;ES4;22;febrero;2016;Lunes;
23/02/2016;95;43,31748953;-8,47923782;1,099;0,124418797;ES4;23;febrero;2016;Martes;
