Municipio;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008
15059 Ordes;12.632;12.580;12.669;12.776;12.844;12.939;12.963;12.948;12.868;12.757;12.534
15060 Oroso;7.452;7.452;7.420;7.413;7.400;7.431;7.328;7.174;7.050;6.987;6.804
15061 Ortigueira;5.804;5.966;6.093;6.136;5.997;6.064;6.550;6.956;6.871;7.150;7.311
15062 Outes;6.412;6.514;6.606;6.691;6.804;7.010;7.192;7.243;7.313;7.425;7.547
15063 Oza dos Ríos;;;;;;3.204;3.227;3.229;3.198;3.202;3.206
15902 Oza-Cesuras;5.155;5.133;5.181;5.253;5.275;;;;;;
15064 Paderne;2.419;2.441;2.445;2.467;2.502;2.534;2.597;2.628;2.653;2.672;2.722
15065 Padrón;8.386;8.463;8.581;8.643;8.693;8.707;8.882;8.924;8.985;8.968;9.016
15066 Pino, O;4.656;4.644;4.653;4.706;4.680;4.708;4.732;4.743;4.718;4.710;4.782
15067 Pobra do Caramiñal, A;9.390;9.440;9.525;9.623;9.672;9.646;9.664;9.726;9.858;9.878;9.934
15068 Ponteceso;5.565;5.613;5.703;5.789;5.893;5.964;6.065;6.134;6.215;6.302;6.381
15069 Pontedeume;7.884;7.937;8.005;8.011;8.117;8.213;8.324;8.342;8.370;8.457;8.561
15070 Pontes de García Rodríguez, As;10.237;10.324;10.399;10.503;10.634;10.564;10.996;11.139;11.336;11.431;11.384
15071 Porto do Son;9.243;9.271;9.386;9.436;9.571;9.613;9.699;9.847;9.873;9.867;9.845
15072 Rianxo;11.104;11.188;11.295;11.386;11.479;11.598;11.729;11.780;11.826;11.769;11.578
15073 Ribeira;27.067;27.159;27.249;27.372;27.565;27.811;27.778;27.699;27.504;27.518;27.430
15074 Rois;4.564;4.627;4.657;4.710;4.767;4.818;4.871;4.910;4.936;4.995;5.012
15075 Sada;15.495;15.242;15.150;15.080;15.156;15.075;14.922;14.870;14.734;14.487;14.036
15076 San Sadurniño;2.828;2.877;2.944;3.009;3.019;3.020;3.061;3.099;3.098;3.119;3.125
15077 Santa Comba;9.450;9.477;9.556;9.635;9.719;9.913;10.101;10.241;10.408;10.487;10.577
15078 Santiago de Compostela;96.405;96.456;95.966;95.612;95.800;96.041;95.671;95.207;94.824;95.092;94.339
15079 Santiso;1.610;1.630;1.672;1.709;1.742;1.785;1.838;1.883;1.930;1.980;2.035
15080 Sobrado;1.799;1.847;1.882;1.911;1.965;2.016;2.037;2.087;2.139;2.168;2.208
15081 Somozas, As;1.103;1.128;1.160;1.191;1.211;1.249;1.279;1.306;1.342;1.382;1.388
15082 Teo;18.525;18.478;18.510;18.505;18.254;17.942;18.454;18.266;17.940;17.807;17.625
15083 Toques;1.151;1.173;1.196;1.213;1.248;1.265;1.302;1.343;1.387;1.405;1.416
15084 Tordoia;3.361;3.433;3.522;3.591;3.706;3.817;3.924;4.168;4.268;4.339;4.399
15085 Touro;3.620;3.693;3.703;3.778;3.853;3.919;3.979;4.082;4.151;4.230;4.266
15086 Trazo;3.148;3.186;3.190;3.263;3.301;3.343;3.433;3.472;3.496;3.498;3.509
15088 Val do Dubra;3.925;3.931;3.974;4.033;4.120;4.136;4.234;4.313;4.386;4.423;4.481
15087 Valdoviño;6.613;6.594;6.650;6.753;6.796;6.811;6.857;6.926;6.982;6.978;6.986
15089 Vedra;5.046;5.051;5.012;5.059;5.073;5.008;5.043;5.046;5.052;5.059;5.063
15091 Vilarmaior;1.231;1.249;1.260;1.233;1.236;1.247;1.261;1.273;1.277;1.294;1.289
15090 Vilasantar;1.225;1.241;1.275;1.280;1.316;1.362;1.368;1.380;1.406;1.415;1.432
15092 Vimianzo;7.138;7.270;7.378;7.520;7.710;7.849;7.977;8.039;8.128;8.204;8.300
15093 Zas;4.581;4.671;4.756;4.846;4.902;4.983;5.109;5.219;5.295;5.385;5.459
